lon,lat,elevation
118.7920,31.9440,92.1
118.7925,31.9445,98.4
118.7930,31.9450,105.7
118.7935,31.9455,114.2
118.7940,31.9460,122.9
118.7945,31.9465,131.5
118.7950,31.9470,138.2
118.7955,31.9475,144.6
118.7960,31.9480,151.3
118.7965,31.9485,156.8
118.7970,31.9490,161.5
118.7975,31.9495,166.2
118.7980,31.9500,170.1
118.7985,31.9505,173.4
118.7990,31.9510,175.9
118.7995,31.9515,177.8
118.8000,31.9520,179.1
118.8005,31.9525,179.7
118.8010,31.9530,180.2
118.8015,31.9535,180.5
118.8020,31.9540,180.1
118.8025,31.9545,178.6
118.8030,31.9550,176.3
118.8035,31.9555,172.9
118.8040,31.9560,168.4
118.8045,31.9565,163.1
118.8050,31.9570,157.2
118.8055,31.9575,150.5
118.8060,31.9580,142.9
118.8065,31.9585,135.6
118.8070,31.9590,127.8
118.8075,31.9595,120.1
118.8080,31.9600,112.4
