lon,lat,slope
118.7920,31.9440,0.00
118.7925,31.9445,12.50
118.7930,31.9450,14.60
118.7935,31.9455,16.90
118.7940,31.9460,17.40
118.7945,31.9465,17.20
118.7950,31.9470,13.40
118.7955,31.9475,12.80
118.7960,31.9480,13.40
118.7965,31.9485,11.00
118.7970,31.9490,9.40
118.7975,31.9495,9.40
118.7980,31.9500,7.80
118.7985,31.9505,6.60
118.7990,31.9510,5.00
118.7995,31.9515,3.80
118.8000,31.9520,2.60
118.8005,31.9525,1.20
118.8010,31.9530,1.00
118.8015,31.9535,0.80
118.8020,31.9540,-0.80
118.8025,31.9545,-3.00
118.8030,31.9550,-4.60
118.8035,31.9555,-6.80
118.8040,31.9560,-9.00
118.8045,31.9565,-10.60
118.8050,31.9570,-11.40
118.8055,31.9575,-13.40
118.8060,31.9580,-15.20
118.8065,31.9585,-14.60
118.8070,31.9590,-15.60
118.8075,31.9595,-15.40
118.8080,31.9600,-15.40
